credito_id,precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_inicio,max_atraso_dias,supera_90_dias,credito_vigente,edad,estado_civil,estado_civil_binario,vivienda_no_propia,tipo_vivienda_binario,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
1,60000,0.4,120,24,02/12/2022,172,0,1,27,divorciado,1,0,0,41812.11314299241,23114.970377809685,3,0,43273.59604854938,1,10,485
2,22000,0.1,80,6,07/11/2022,126,0,0,45,viudo,1,0,0,28675.572258981127,17887.81211521376,3,0,93593.06244415193,2,11,652
3,15000,0.2,60,24,09/02/2023,33,0,1,43,divorciado,0,0,0,42045.97857429276,16640.632240304265,3,0,,,,
4,50000,0.3,120,18,13/12/2022,57,0,0,51,casado,1,0,0,41568.14907549827,17089.21899036221,0,0,98923.27584,3,26,684
5,45000,0.3,120,18,17/08/2022,63,1,0,44,soltero,1,0,1,14831.971123225492,9876.601837991315,2,1,,,,
6,22000,0.4,120,6,15/04/2023,29,1,0,47,casado,1,1,1,5000,3876.1638586663207,2,0,,,,
7,50000,0.4,120,24,06/12/2022,56,1,1,33,union libre,1,1,1,5000,3593.192391144301,4,0,28387.077234749027,1,110,464
8,15000,0.4,120,12,10/12/2022,27,0,0,48,viudo,1,0,0,28214.73874,21533.431726848292,0,0,82929.79800975756,0,22,632
9,45000,0.4,80,6,31/03/2023,5,0,0,46,divorciado,1,0,0,22425.533271877564,14737.09668806168,1,1,65704.25167222132,0,27,750
10,34000,0.2,120,18,18/06/2023,49,0,1,45,divorciado,1,1,1,21838.120028314584,16354.956471685124,0,0,,,,
11,45000,0.3,80,24,04/07/2022,45,1,0,45,divorciado,1,1,1,7690.110315540369,7690.110315540369,0,1,,,,
12,34000,0.3,120,6,27/05/2023,35,0,0,44,casado,0,0,1,17278.678748855564,11258.37196600436,2,0,29974.27119422137,0,50,593
13,50000,0.4,120,6,13/10/2022,32,0,0,59,union libre,1,1,1,39822.60378591232,16780.17378981381,0,0,18068.514948719898,2,58,610
14,50000,0.3,120,6,15/09/2022,0,1,0,48,viudo,1,1,1,5000,5000,1,1,,,,
15,50000,0.1,60,6,14/10/2022,49,1,0,53,soltero,0,1,1,23427.011904972147,10935.316384484222,2,1,,,,
16,34000,0.1,60,6,05/01/2023,0,1,0,39,casado,1,1,1,11387.398560122449,7093.498350065058,0,1,,,,
17,15000,0.2,60,18,14/03/2023,94,0,0,29,casado,0,0,0,51611.14041718057,31807.306943578136,0,0,13987.635415000877,1,25,726
18,60000,0.4,80,18,14/04/2023,175,0,1,41,divorciado,1,1,1,33994.79022773898,20815.445079927595,4,1,,,,
19,50000,0.2,80,6,13/07/2022,33,0,0,53,soltero,0,0,1,5000,1891.5553550487207,2,0,17874.47721653548,0,29,715
20,34000,0.4,120,24,14/01/2023,59,1,1,46,divorciado,1,0,0,5000,3601.0692436198287,2,0,,,,
21,22000,0.4,60,12,25/04/2023,28,0,0,37,casado,0,0,0,12863.735741113825,4285.432474886683,3,0,11924.062160862308,1,33,415
22,60000,0.4,120,6,15/07/2022,128,1,0,40,union libre,1,0,1,14363.595486107253,14350.329106331412,0,1,110819.70686450356,2,42,686
23,50000,0.3,60,6,22/12/2022,69,1,0,40,union libre,1,1,1,5000,5000,0,1,,,,
24,50000,0.1,120,24,22/11/2022,69,0,1,43,casado,0,0,1,31655.535065883407,21207.723144025098,0,0,11572.852446060202,0,22,546
25,60000,0.3,60,18,20/06/2023,53,0,1,22,soltero,1,0,0,40536.19690499814,29270.218353345175,1,0,,,,
26,15000,0.2,60,18,22/04/2023,17,0,1,55,casado,0,0,0,22080.88916162304,11883.307916375432,1,0,,,,
27,45000,0.1,60,6,08/08/2022,148,1,0,37,soltero,1,0,1,5000,3216.9602029168755,0,1,91911.35462081962,0,50,669
28,15000,0.2,80,24,25/11/2022,31,0,1,48,casado,0,0,1,5000,3316.5163062632573,0,0,72839.30680707173,1,10,316
29,15000,0.2,60,18,14/05/2023,120,0,1,24,casado,0,0,0,52651.44297857671,22548.51223859335,3,0,64897.58289940798,1,15,487
30,34000,0.3,120,6,30/03/2023,110,1,0,57,divorciado,1,1,1,52089.55000153286,29178.89364721033,1,1,102322.46190817257,2,35,404
31,22000,0.3,120,12,25/04/2023,28,0,0,48,casado,0,0,1,48297.37149307652,31468.134283878262,4,0,8447.280397501041,0,9,723
32,50000,0.4,60,6,21/03/2023,22,1,0,51,soltero,1,0,1,15614.56994531717,15614.56994531717,0,1,27561.465820540936,4,69,667
33,15000,0.4,120,24,17/07/2022,33,1,0,34,casado,1,1,1,20336.087286573347,15704.027737703014,2,0,37906.57679067514,0,50,560
34,50000,0.3,60,6,12/02/2023,116,0,0,42,soltero,1,0,0,40284.05322327578,31453.90101017486,3,0,,,,
35,15000,0.1,60,12,20/10/2022,156,0,0,25,soltero,1,1,1,32199.558876362433,18030.1998,3,0,63737.32616909015,1,7,543
36,15000,0.1,80,6,09/09/2022,26,0,0,36,divorciado,0,1,1,5000,1806.2761211578515,1,0,,,,
37,15000,0.3,60,6,08/04/2023,24,0,0,52,casado,0,0,0,43771.868949051845,24477.96767523323,0,1,50850.46314476627,4,0,641
38,34000,0.1,120,24,27/05/2023,44,1,1,56,union libre,1,0,1,37247.12231846806,31342.08941240743,0,0,,,,
39,50000,0.2,60,12,14/01/2023,64,0,0,40,soltero,1,0,0,46076.77102668695,26218.72250850238,2,1,61564.40480236785,0,27,357
40,45000,0.4,60,24,21/10/2022,41,0,1,28,casado,1,1,1,36784.19411339317,24788.047166567445,1,0,32562.695960840785,1,56,563
41,15000,0.1,80,12,06/08/2022,95,1,0,60,soltero,0,1,1,24691.015793844395,17664.119762523347,1,1,63379.77354246005,2,42,484
42,22000,0.2,80,24,31/05/2023,31,0,1,40,casado,0,0,1,8807.106055,5046.712028825352,0,0,37283.24049,2,14,596
43,50000,0.2,120,6,04/02/2023,4,1,0,30,soltero,1,0,1,18299.575457191346,12260.374437430964,1,1,105140.98462142053,0,32,514
44,50000,0.3,120,12,13/01/2023,14,0,0,49,casado,0,0,1,19970.26688972256,8000.692862,1,0,44893.56681207322,0,2,560
45,34000,0.3,120,24,28/04/2023,33,1,1,46,union libre,1,1,1,44606.927627131736,20920.933558184122,3,1,,,,
46,34000,0.4,80,6,17/11/2022,168,0,0,54,casado,0,1,1,32759.515787403532,17048.672659923228,2,0,63839.06636025298,3,10,692
47,15000,0.3,120,24,31/05/2023,58,0,1,26,divorciado,0,0,0,27614.561630365126,19462.606492831663,1,0,23779.762258457416,1,13,439
48,50000,0.3,120,18,21/12/2022,144,0,0,18,soltero,1,0,0,14731.481055832228,10525.577713099769,2,0,37169.936984594424,3,22,506
49,34000,0.4,60,24,16/02/2023,31,0,1,43,soltero,1,0,0,14110.588748499164,5385.855211,0,0,36131.402836884445,1,33,555
50,45000,0.1,120,18,05/05/2023,179,1,1,49,divorciado,1,0,1,6372.028478143075,6013.012172079221,2,1,,,,
51,22000,0.3,120,12,23/03/2023,91,0,0,19,divorciado,0,0,0,41177.26784153794,20918.622841446493,0,1,95339.92576,1,25,642
52,50000,0.2,60,6,18/03/2023,7,0,0,28,union libre,0,0,0,38969.357780106955,22815.306614951372,2,0,56971.15624418753,3,28,507
53,50000,0.1,120,24,10/07/2022,42,0,0,72,casado,1,0,1,33751.56540519656,21054.621173979016,1,0,19843.73867299886,3,56,550
54,15000,0.2,80,18,04/09/2022,29,0,0,36,casado,1,0,0,41867.2392,18413.462850781052,1,0,,,,
55,50000,0.1,120,18,19/09/2022,140,0,0,48,casado,0,0,0,17917.206054687384,13610.289402130782,1,1,47899.664733224505,0,17,678
56,50000,0.4,60,6,21/05/2023,176,0,0,32,union libre,0,0,0,5000,3838.620387505044,0,0,,,,
57,22000,0.3,120,24,15/10/2022,67,1,1,27,union libre,1,0,1,23989.64259976359,13398.64007436663,1,1,,,,
58,45000,0.2,80,12,07/05/2023,0,1,0,42,soltero,1,0,1,22378.222952758468,15871.619040991725,4,1,78366.83606843438,0,36,484
59,45000,0.3,120,24,12/11/2022,45,1,1,44,divorciado,1,0,0,33223.71563963436,14332.160975826184,1,0,,,,
60,34000,0.1,80,24,22/11/2022,52,0,1,35,soltero,1,0,0,36391.32312878928,11764.656046510598,1,0,,,,
61,50000,0.3,60,12,14/04/2023,31,0,0,38,union libre,0,0,0,28897.06773205661,22507.924815124527,2,0,,,,
62,50000,0.1,120,24,09/03/2023,35,1,1,55,union libre,1,0,1,16189.79332352928,11996.702318937198,1,1,42642.695546132585,3,75,542
63,60000,0.1,60,18,30/06/2023,32,0,1,38,divorciado,1,0,0,51136.33455842132,23638.83505,1,0,53975.46554527972,2,20,593
64,15000,0.4,120,18,03/02/2023,11,0,0,24,casado,1,0,1,25648.20927252156,16285.044086424103,0,0,96744.68042423889,1,7,399
65,34000,0.2,60,24,24/02/2023,115,1,1,50,casado,0,1,1,35303.42835,27600.467056957914,2,1,,,,
66,50000,0.1,80,12,21/07/2022,40,0,0,18,divorciado,1,0,0,34636.28991,25473.31961901844,2,1,,,,
67,45000,0.2,60,12,24/10/2022,68,1,0,27,union libre,1,1,1,5000,5000,4,0,83875.78601270265,2,64,389
68,50000,0.2,80,6,07/05/2023,25,0,0,48,divorciado,1,0,1,10289.239078785991,7296.243518237241,0,1,54934.960789128185,1,20,519
69,15000,0.2,60,12,08/01/2023,25,1,0,54,soltero,1,0,1,18627.798149605216,17882.983423297344,0,0,109149.00655071395,4,133,567
70,22000,0.3,80,24,16/03/2023,101,0,1,39,divorciado,1,1,1,22534.563000223756,13470.826051738131,3,0,21072.08838652299,3,11,456
71,60000,0.1,120,24,24/07/2022,177,0,0,23,union libre,1,0,0,15748.752400379215,8503.569124143578,2,0,73360.04753744304,0,0,683
