Age,Sex,Cuota,Nomina,Tasa,TDC,Antiguedad,BuenPago
37,1,240,0,165,N,1,0
54,1,166,0,118,Y,0,1
72,1,123,1,130,N,1.5,1
51,1,0,0,60,N,0,1
65,1,235,0,120,Y,1.5,1
64,1,309,0,131,Y,1.8,1
49,1,187,0,172,N,0,0
41,0,268,0,172,,0,0
51,0,190,0,120,N,0,0
59,0,249,0,143,Y,0,1
53,1,226,0,111,Y,0,0
58,1,259,0,130,Y,3,1
,1,0,1,136,N,1.8,1
58,1,211,1,165,N,0,0
64,1,306,1,115,Y,1.8,1
34,1,182,0,174,N,0,0
55,1,228,0,124,,1.6,1
46,1,197,1,156,N,0,0
58,1,,0,110,N,0,1
53,1,243,0,122,,2,1
71,1,221,0,108,Y,1.8,1
45,0,160,0,138,N,0,0
60,1,195,0,126,N,0.3,0
43,,247,0,171,N,1.5,0
53,1,182,0,148,N,0,0
61,1,292,0,115,Y,0,0
52,1,233,1,147,N,0.1,0
56,1,223,0,119,Y,2,1
57,1,260,1,140,N,0,0
52,1,298,0,110,Y,1,1
70,1,269,0,112,Y,2.9,1
59,1,222,0,135,Y,2.5,1
50,1,0,0,156,,0,1
54,0,201,0,163,N,0,0
55,1,160,0,,N,0,0
69,1,254,0,146,N,2,1
,1,268,0,128,Y,1.5,1
64,1,246,0,96,Y,2.2,1
59,1,0,1,119,Y,0.9,1
45,1,224,1,122,N,,0
35,1,,0,174,N,0,0
57,1,232,0,164,N,0,1
,0,,0,180,N,0,0
43,1,175,0,120,Y,1,1
58,,240,0,154,Y,0.6,0
61,,307,0,146,Y,1,1
54,1,216,0,105,N,1.5,1
50,1,264,0,150,N,0,1
56,0,219,0,,N,0,0
52,1,,1,82,Y,0.8,1
54,1,305,0,175,N,0,0
59,1,239,0,142,Y,1.2,1
35,1,0,1,130,Y,1.2,1
58,1,222,0,100,N,0,0
61,1,203,0,161,N,0,1
51,1,227,0,154,Y,0,0
47,1,0,0,124,Y,0,1
38,1,0,1,120,Y,0.7,1
48,0,195,0,125,N,0,0
41,1,,0,142,N,0,0
53,1,0,0,,N,0,1
,1,218,0,128,Y,1.1,1
54,1,258,0,147,N,0.4,0
53,1,181,0,132,N,0,0
55,1,,0,111,Y,5.6,1
64,1,335,0,158,N,0,1
55,0,394,0,150,N,0,0
59,1,288,0,159,N,0.2,1
,1,0,0,124,N,1,1
63,1,233,1,150,N,2.3,0
38,1,175,0,173,N,0,0
40,,,1,165,N,0,1
43,1,247,0,130,Y,2,1
56,1,208,1,122,Y,1.8,1
42,1,240,1,194,N,0.8,0
65,1,252,0,135,N,0.3,0
51,1,224,0,150,N,0,0
41,1,291,0,160,N,,0
,1,267,1,157,N,0.5,1
63,0,407,0,154,N,4,1
57,1,277,1,118,Y,1.9,1
58,0,248,0,122,N,1,0
62,1,281,0,103,N,1.4,1
46,1,202,0,150,Y,0,1
74,1,0,0,116,N,0.2,0
69,1,271,0,126,N,,0
45,1,192,0,110,N,0,0
50,0,328,0,110,Y,1,0
53,1,300,1,128,Y,1.5,1
58,1,211,1,92,N,0,1
66,0,228,1,165,Y,,1
64,0,0,1,145,N,1.1,1
62,0,164,0,145,N,6.2,1
57,1,207,0,168,Y,0,0
42,1,,0,170,N,0,0
41,1,235,0,153,N,0,0
36,1,166,0,180,N,0,0
60,1,230,1,160,Y,1.4,1
39,1,339,0,170,,0,0
62,0,209,0,163,N,0,0
54,1,0,0,117,Y,1.4,1
47,,,0,145,Y,1,1
46,0,243,0,152,Y,0,0
62,1,271,0,152,N,1,0
48,1,222,0,186,N,0,0
69,1,0,1,118,N,2.5,1
63,1,0,1,149,N,2,1
54,1,171,0,137,,2,0
55,0,344,0,160,N,0,0
39,,280,0,150,N,0,1
,,177,0,84,Y,2.5,1
40,1,215,0,,N,0,0
63,0,,0,136,Y,0,1
54,1,232,,165,N,1.6,0
54,1,238,0,154,N,0,0
55,1,220,0,134,N,0,0
52,1,0,1,120,N,0,1
47,1,0,0,118,Y,1,1
53,1,320,0,162,N,0,0
35,1,264,0,168,N,0,0
49,1,212,0,96,Y,0,1
42,1,0,0,99,Y,0,1
53,1,197,1,152,N,1.2,0
61,1,0,1,108,Y,2,1
53,1,518,0,130,N,0,1
48,1,256,,150,Y,0,1
44,1,226,0,169,N,0,0
,0,313,0,133,N,0.2,0
55,1,217,0,110,Y,2.5,1
39,1,241,0,146,N,2,0
46,1,275,0,165,Y,0,0
59,1,0,0,128,Y,2,1
69,1,210,1,112,Y,1.5,1
38,1,196,0,166,N,0,1
64,1,0,1,114,Y,1.3,1
47,1,253,0,,N,0,0
