precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_solicitud,edad,estado_civil,vivienda_no_propia,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
60000,0.4,120,24,02/12/2022,27,divorciado,0,41812.11314,23114.97038,3,0,43273.59605,1,10,485
22000,0.1,80,6,07/11/2022,45,viudo,0,28675.57226,17887.81212,3,0,93593.06244,2,11,652
15000,0.2,60,24,09/02/2023,43,divorciado,0,42045.97857,16640.63224,3,0,,,,
50000,0.3,120,18,13/12/2022,51,casado,0,41568.14908,17089.21899,0,0,98923.27584,3,26,684
45000,0.3,120,18,17/08/2022,44,soltero,0,14831.97112,9876.601838,2,1,,,,
22000,0.4,120,6,15/04/2023,47,casado,1,5000,3876.163859,2,0,,,,
50000,0.4,120,24,06/12/2022,33,union libre,1,5000,3593.192391,4,0,28387.07723,1,110,464
15000,0.4,120,12,10/12/2022,48,viudo,0,28214.73874,21533.43173,0,0,82929.79801,0,22,632
45000,0.4,80,6,31/03/2023,46,divorciado,0,22425.53327,14737.09669,1,1,65704.25167,0,27,750
34000,0.2,120,18,18/06/2023,45,divorciado,1,21838.12003,16354.95647,0,0,,,,
45000,0.3,80,24,04/07/2022,45,divorciado,1,7690.110316,7690.110316,0,1,,,,
34000,0.3,120,6,27/05/2023,44,casado,0,17278.67875,11258.37197,2,0,29974.27119,0,50,593
50000,0.4,120,6,13/10/2022,59,union libre,1,39822.60379,16780.17379,0,0,18068.51495,2,58,610
50000,0.3,120,6,15/09/2022,48,viudo,1,5000,5000,1,1,,,,
50000,0.1,60,6,14/10/2022,53,soltero,1,23427.0119,10935.31638,2,1,,,,
34000,0.1,60,6,05/01/2023,39,casado,1,11387.39856,7093.49835,0,1,,,,
15000,0.2,60,18,14/03/2023,29,casado,0,51611.14042,31807.30694,0,0,13987.63542,1,25,726
60000,0.4,80,18,14/04/2023,41,divorciado,1,33994.79023,20815.44508,4,1,,,,
50000,0.2,80,6,13/07/2022,53,soltero,0,5000,1891.555355,2,0,17874.47722,0,29,715
34000,0.4,120,24,14/01/2023,46,divorciado,0,5000,3601.069244,2,0,,,,
22000,0.4,60,12,25/04/2023,37,casado,0,12863.73574,4285.432475,3,0,11924.06216,1,33,415
60000,0.4,120,6,15/07/2022,40,union libre,0,14363.59549,14350.32911,0,1,110819.7069,2,42,686
50000,0.3,60,6,22/12/2022,40,union libre,1,5000,5000,0,1,,,,
50000,0.1,120,24,22/11/2022,43,casado,0,31655.53507,21207.72314,0,0,11572.85245,0,22,546
60000,0.3,60,18,20/06/2023,22,soltero,0,40536.1969,29270.21835,1,0,,,,
15000,0.2,60,18,22/04/2023,55,casado,0,22080.88916,11883.30792,1,0,,,,
45000,0.1,60,6,08/08/2022,37,soltero,0,5000,3216.960203,0,1,91911.35462,0,50,669
15000,0.2,80,24,25/11/2022,48,casado,0,5000,3316.516306,0,0,72839.30681,1,10,316
15000,0.2,60,18,14/05/2023,24,casado,0,52651.44298,22548.51224,3,0,64897.5829,1,15,487
34000,0.3,120,6,30/03/2023,57,divorciado,1,52089.55,29178.89365,1,1,102322.4619,2,35,404
22000,0.3,120,12,25/04/2023,48,casado,0,48297.37149,31468.13428,4,0,8447.280398,0,9,723
50000,0.4,60,6,21/03/2023,51,soltero,0,15614.56995,15614.56995,0,1,27561.46582,4,69,667
15000,0.4,120,24,17/07/2022,34,casado,1,20336.08729,15704.02774,2,0,37906.57679,0,50,560
50000,0.3,60,6,12/02/2023,42,soltero,0,40284.05322,31453.90101,3,0,,,,
15000,0.1,60,12,20/10/2022,25,soltero,1,32199.55888,18030.1998,3,0,63737.32617,1,7,543
15000,0.1,80,6,09/09/2022,36,divorciado,1,5000,1806.276121,1,0,,,,
15000,0.3,60,6,08/04/2023,52,casado,0,43771.86895,24477.96768,0,1,50850.46314,4,0,641
34000,0.1,120,24,27/05/2023,56,union libre,0,37247.12232,31342.08941,0,0,,,,
50000,0.2,60,12,14/01/2023,40,soltero,0,46076.77103,26218.72251,2,1,61564.4048,0,27,357
45000,0.4,60,24,21/10/2022,28,casado,1,36784.19411,24788.04717,1,0,32562.69596,1,56,563
15000,0.1,80,12,06/08/2022,60,soltero,1,24691.01579,17664.11976,1,1,63379.77354,2,42,484
22000,0.2,80,24,31/05/2023,40,casado,0,8807.106055,5046.712029,0,0,37283.24049,2,14,596
50000,0.2,120,6,04/02/2023,30,soltero,0,18299.57546,12260.37444,1,1,105140.9846,0,32,514
50000,0.3,120,12,13/01/2023,49,casado,0,19970.26689,8000.692862,1,0,44893.56681,0,2,560
34000,0.3,120,24,28/04/2023,46,union libre,1,44606.92763,20920.93356,3,1,,,,
34000,0.4,80,6,17/11/2022,54,casado,1,32759.51579,17048.67266,2,0,63839.06636,3,10,692
15000,0.3,120,24,31/05/2023,26,divorciado,0,27614.56163,19462.60649,1,0,23779.76226,1,13,439
50000,0.3,120,18,21/12/2022,18,soltero,0,14731.48106,10525.57771,2,0,37169.93698,3,22,506
34000,0.4,60,24,16/02/2023,43,soltero,0,14110.58875,5385.855211,0,0,36131.40284,1,33,555
45000,0.1,120,18,05/05/2023,49,divorciado,0,6372.028478,6013.012172,2,1,,,,
22000,0.3,120,12,23/03/2023,19,divorciado,0,41177.26784,20918.62284,0,1,95339.92576,1,25,642
50000,0.2,60,6,18/03/2023,28,union libre,0,38969.35778,22815.30661,2,0,56971.15624,3,28,507
50000,0.1,120,24,10/07/2022,72,casado,0,33751.56541,21054.62117,1,0,19843.73867,3,56,550
15000,0.2,80,18,04/09/2022,36,casado,0,41867.2392,18413.46285,1,0,,,,
50000,0.1,120,18,19/09/2022,48,casado,0,17917.20605,13610.2894,1,1,47899.66473,0,17,678
50000,0.4,60,6,21/05/2023,32,union libre,0,5000,3838.620388,0,0,,,,
22000,0.3,120,24,15/10/2022,27,union libre,0,23989.6426,13398.64007,1,1,,,,
45000,0.2,80,12,07/05/2023,42,soltero,0,22378.22295,15871.61904,4,1,78366.83607,0,36,484
45000,0.3,120,24,12/11/2022,44,divorciado,0,33223.71564,14332.16098,1,0,,,,
34000,0.1,80,24,22/11/2022,35,soltero,0,36391.32313,11764.65605,1,0,,,,
50000,0.3,60,12,14/04/2023,38,union libre,0,28897.06773,22507.92482,2,0,,,,
50000,0.1,120,24,09/03/2023,55,union libre,0,16189.79332,11996.70232,1,1,42642.69555,3,75,542
60000,0.1,60,18,30/06/2023,38,divorciado,0,51136.33456,23638.83505,1,0,53975.46555,2,20,593
15000,0.4,120,18,03/02/2023,24,casado,0,25648.20927,16285.04409,0,0,96744.68042,1,7,399
