NumeroCredito,NumeroCuota,CuotadelMes,AtrasoPago,CapitalPagado,InteresesPagados,IVA Pagado
300001,1,1143.09,13,737.61,349.55,55.93
300001,2,1247.05,-4,750.45,428.11,68.50
300001,3,1249.68,9,763.51,419.12,67.06
300001,4,1252.36,5,776.79,409.98,65.60
300001,5,1255.09,-2,790.30,400.68,64.11
300001,6,1257.86,10,804.05,391.21,62.59
300001,7,1260.69,0,818.05,381.59,61.05
300001,8,1263.56,-3,832.28,371.79,59.49
300001,9,1266.47,-5,846.76,361.82,57.89
300001,10,1269.44,16,861.49,351.68,56.27
300001,11,1272.47,6,876.48,341.37,54.62
300001,12,1275.55,20,891.74,330.87,52.94
300001,13,1278.68,13,907.26,320.20,51.23
300001,14,1281.87,4,923.04,309.34,49.49
300001,15,1285.11,-3,939.10,298.28,47.72
300001,16,1288.41,6,955.44,287.04,45.93
300001,17,1291.76,-4,972.07,275.60,44.10
300001,18,1295.17,14,988.98,263.96,42.23
300001,19,1298.65,-1,1006.19,252.12,40.34
300001,20,1302.17,1,1023.69,240.06,38.41
300001,21,1305.77,1,1041.51,227.81,36.45
300001,22,1309.42,11,1059.63,215.34,34.45
300002,1,1604.54,1,823.58,673.24,107.72
300002,2,1666.11,18,852.24,701.61,112.26
300002,3,1672.09,15,881.90,681.20,108.99
300002,4,1678.28,11,912.58,660.08,105.61
300002,5,1684.69,-4,944.34,638.23,102.12
300002,6,1691.31,8,977.20,615.61,98.50
300002,7,1698.18,0,1011.22,592.21,94.75
300002,8,1705.27,-5,1046.40,567.99,90.88
300002,9,1712.62,15,1082.82,542.94,86.87
300002,10,1720.22,10,1120.50,517.01,82.72
300002,11,1728.08,7,1159.49,490.17,78.43
300003,1,1338.11,8,815.26,450.74,72.12
300003,2,1378.32,1,829.44,473.17,75.71
300003,3,1381.23,-2,843.88,463.24,74.12
300003,4,1384.20,14,858.56,453.14,72.50
300003,5,1387.21,18,873.50,442.86,70.86
300003,6,1390.28,11,888.70,432.40,69.18
300003,7,1393.40,-2,904.16,421.76,67.48
300003,8,1396.58,16,919.90,410.93,65.75
300003,9,1399.81,5,935.91,399.91,63.99
300003,10,1403.10,13,952.19,388.71,62.19
300003,11,1406.44,17,968.76,377.31,60.37
300003,12,1409.84,-5,985.61,365.71,58.51
300003,13,1413.30,4,1002.76,353.91,56.63
300003,14,1416.81,-1,1020.21,341.90,54.70
300003,15,1420.39,5,1037.96,329.68,52.75
300003,16,1424.04,14,1056.02,317.26,50.76
300003,17,1427.74,0,1074.40,304.61,48.74
300003,18,1431.52,9,1093.09,291.74,46.68
300003,19,1435.36,16,1112.12,278.65,44.58
300003,20,1439.26,9,1131.46,265.34,42.45
300003,21,1443.23,6,1151.15,251.80,40.29
300003,22,0.00,-3,0.00,0.00,0.00
300004,1,1808.32,7,882.17,798.41,127.75
300004,2,1784.64,16,912.87,751.52,120.24
300004,3,1791.06,-4,944.64,729.67,116.75
300004,4,1797.69,-3,977.52,707.05,113.13
300004,5,1804.54,-4,1011.53,683.63,109.38
300004,6,0.00,-3,0.00,0.00,0.00
300004,7,0.00,17,0.00,0.00,0.00
300004,8,0.00,8,0.00,0.00,0.00
300004,9,0.00,7,0.00,0.00,0.00
300004,10,0.00,10,0.00,0.00,0.00
300005,1,1633.14,5,942.40,595.46,95.27
300005,2,1593.28,18,958.80,546.97,87.51
300005,3,1596.64,10,975.48,535.48,85.68
300005,4,1600.06,6,992.45,523.80,83.81
300005,5,1603.55,7,1009.72,511.92,81.91
300005,6,1607.10,-5,1027.29,499.83,79.97
300005,7,1610.70,-3,1045.16,487.53,78.00
300005,8,1614.37,-2,1063.35,475.02,76.00
300005,9,1618.11,17,1081.86,462.28,73.97
300005,10,1621.90,12,1100.68,449.33,71.89
300005,11,1625.77,-5,1119.84,436.15,69.78
300005,12,1629.69,1,1139.32,422.74,67.64
300005,13,1633.70,7,1159.14,409.10,65.46
300005,14,1637.76,19,1179.31,395.22,63.24
300005,15,1641.90,0,1199.83,381.10,60.98
300005,16,1646.11,-3,1220.70,366.73,58.68
300005,17,1650.41,7,1241.95,352.12,56.34
300005,18,1654.76,3,1263.55,337.25,53.96
300005,19,1659.20,19,1285.55,322.11,51.54
300005,20,1663.71,17,1307.91,306.72,49.08
300005,21,1668.30,16,1330.67,291.06,46.57
300006,1,2646.24,17,1865.29,673.24,107.72
300006,2,2634.14,11,1930.20,606.84,97.09
300006,3,2647.68,9,1997.37,560.62,89.70
300006,4,2661.72,-3,2066.88,512.79,82.05
300006,5,2676.22,-5,2138.81,463.29,74.13
300006,6,2691.24,6,2213.23,412.07,65.93
300006,7,2706.79,-5,2290.26,359.07,57.45
300006,8,2722.87,-5,2369.96,304.23,48.68
300006,9,2739.50,15,2452.43,247.47,39.60
300006,10,0.00,16,0.00,0.00,0.00
300007,1,2892.37,16,1434.71,1256.60,201.06
300007,2,2902.45,4,1484.64,1222.24,195.56
300007,3,2912.86,-1,1536.31,1186.68,189.87
300007,4,2923.65,-1,1589.78,1149.89,183.98
300007,5,2934.81,-5,1645.09,1111.83,177.89
300007,6,2946.36,6,1702.35,1072.43,171.59
300007,7,2958.31,4,1761.59,1031.66,165.07
300007,8,0.00,-4,0.00,0.00,0.00
300007,9,0.00,18,0.00,0.00,0.00
300008,1,2249.56,2,1115.86,977.33,156.37
300008,2,2257.40,14,1154.70,950.61,152.10
300008,3,2265.51,7,1194.88,922.96,147.67
300008,4,2273.89,-4,1236.45,894.34,143.09
300008,5,2282.58,17,1279.49,864.73,138.36
300008,6,2291.56,-4,1324.02,834.09,133.45
300008,7,2300.86,6,1370.09,802.38,128.38
300008,8,2310.47,11,1417.77,769.57,123.13
300008,9,2320.42,3,1467.11,735.62,117.70
300009,1,2940.96,6,1434.71,1298.49,207.76
300009,2,2902.45,0,1484.64,1222.24,195.56
300009,3,2912.86,12,1536.31,1186.68,189.87
300009,4,2923.65,9,1589.78,1149.89,183.98
300009,5,2934.81,-4,1645.09,1111.83,177.89
300009,6,2946.36,8,1702.35,1072.43,171.59
300009,7,2958.31,12,1761.59,1031.66,165.07
300009,8,2970.68,8,1822.89,989.47,158.32
300010,1,2069.49,14,1009.58,913.72,146.19
300010,2,2042.38,18,1044.71,860.07,137.61
300010,3,2049.72,16,1081.06,835.05,133.61
300010,4,2057.30,17,1118.69,809.15,129.46
300010,5,2065.16,20,1157.61,782.37,125.18
300010,6,2073.29,20,1197.90,754.64,120.74
300010,7,2081.70,20,1239.59,725.96,116.15
300010,8,2090.40,7,1282.73,696.27,111.40
300011,1,2505.22,3,1222.14,1106.10,176.98
300011,2,2472.42,-4,1264.68,1041.15,166.58
300011,3,2481.29,2,1308.69,1010.86,161.74
300011,4,2490.48,-3,1354.23,979.52,156.72
300011,5,2499.99,15,1401.36,947.09,151.53
300011,6,2509.83,14,1450.13,913.54,146.17
300011,7,2520.00,12,1500.58,878.81,140.61
300011,8,2530.54,9,1552.80,842.87,134.86
300012,1,2505.22,13,1222.14,1106.10,176.98
300012,2,2472.42,5,1264.68,1041.15,166.58
300012,3,2481.29,3,1308.69,1010.86,161.74
300012,4,2490.48,19,1354.23,979.52,156.72
300012,5,2499.99,10,1401.36,947.09,151.53
300012,6,2509.83,14,1450.13,913.54,146.17
300012,7,0.00,8,0.00,0.00,0.00
300012,8,0.00,11,0.00,0.00,0.00
300013,1,661.06,-4,287.03,322.44,51.59
300013,2,583.32,13,292.02,251.12,40.18
300013,3,583.60,6,296.36,247.62,39.62
300013,4,585.39,17,302.28,244.07,39.05
300013,5,586.45,2,307.53,240.45,38.47
300013,6,587.52,5,312.88,236.76,37.88
300013,7,588.63,16,318.33,233.02,37.28
300013,8,589.74,8,323.87,229.20,36.67
300013,9,590.87,2,329.50,225.32,36.05
300013,10,592.03,16,335.23,221.38,35.42
300013,11,593.22,15,341.07,217.37,34.78
300013,12,594.42,13,347.00,213.29,34.13
300013,13,595.63,-5,353.03,209.13,33.46
300013,14,596.87,-2,359.18,204.91,32.78
300013,15,598.13,18,365.43,200.60,32.10
300013,16,599.42,17,371.79,196.23,31.40
300013,17,600.71,-3,378.26,191.77,30.68
