,precio,enganche_porcentaje,tasa_interes_anual,plazo_meses,fecha_solicitud,edad,estado_civil,vivienda_no_propia,ingresos_mensuales,gastos_mensuales,dependientes_economicos,escolaridad_licenciatura,credito_max_otorgado,creditos_activos,atraso_max_otras_instituciones,score_crediticio
5051,15000,0.2,120,12,09/06/2023,43,soltero,0,31954.46549,14989.09483,0,0,28599.87403,1.0,6.0,613.0
5290,50000,0.1,60,24,15/10/2022,67,casado,0,5000.0,5000.0,1,0,37909.83054,1.0,50.0,609.0
5522,22000,0.1,60,18,14/02/2023,40,union libre,1,29521.35198,9037.735653,1,1,,,,
990,34000,0.3,60,12,05/09/2022,30,casado,0,39178.83335,16260.77128,1,1,60169.33028,1.0,2.0,750.0
2002,60000,0.1,120,6,09/04/2023,47,casado,0,14461.27682,5159.976952,3,0,73159.26698,1.0,44.0,635.0
4461,22000,0.3,60,12,14/02/2023,44,casado,0,57673.27172,44457.38162,1,1,,,,
2649,45000,0.4,80,24,28/08/2022,44,divorciado,0,43158.32489,25832.70679,1,0,,,,
2831,15000,0.4,120,18,16/08/2022,50,casado,1,19167.82985,8858.63085,3,0,49904.7531,1.0,2.0,586.0
5195,15000,0.1,80,12,04/04/2023,37,divorciado,1,53468.20828,42762.82129,2,0,88016.03225,0.0,23.0,588.0
2589,22000,0.4,120,24,16/05/2023,38,soltero,1,35075.94522,25110.77794,3,0,59301.50193,2.0,64.0,750.0
5126,60000,0.1,60,6,15/09/2022,46,soltero,0,32529.86243,17503.51912,4,1,24390.12811,0.0,80.0,506.0
4714,45000,0.2,60,18,02/06/2023,30,casado,1,22105.58487,6659.774998,3,0,93284.83361,3.0,1.0,472.0
417,34000,0.1,120,6,16/07/2022,43,casado,0,21922.60538,14851.03388,1,0,,,,
1215,22000,0.1,60,18,19/11/2022,58,soltero,0,38896.99996,29488.02061,0,0,97964.32317,0.0,56.0,538.0
5890,22000,0.1,120,12,06/07/2022,45,union libre,0,39780.85724,26536.88703,2,0,95358.51416,1.0,19.0,616.0
952,15000,0.1,120,24,25/08/2022,38,casado,0,10419.56082,6565.780946,2,0,24524.75902,3.0,44.0,727.0
704,50000,0.3,120,6,12/11/2022,44,casado,0,5000.0,4590.588492,1,0,,,,
5313,22000,0.2,60,24,07/12/2022,41,casado,0,46114.05797,34662.12617,1,0,,,,
2495,60000,0.1,60,18,02/04/2023,39,soltero,0,44967.37757,29853.7154,1,0,99903.88461,1.0,11.0,529.0
770,34000,0.4,120,18,05/01/2023,54,soltero,1,14108.36912,13430.14993,3,1,,,,
3884,34000,0.3,120,12,01/07/2023,22,divorciado,0,21459.09192,13919.38803,1,0,,,,
1146,34000,0.1,80,12,03/03/2023,30,casado,0,48092.81307,35300.29038,2,1,,,,
188,50000,0.3,80,12,28/03/2023,59,soltero,0,28121.8858,17613.84717,1,0,78794.63198,1.0,50.0,548.0
3204,22000,0.4,120,18,15/05/2023,18,casado,0,42380.9466,31620.61694,3,1,5097.087643,2.0,1.0,671.0
5866,45000,0.1,120,18,24/11/2022,43,divorciado,0,45006.40482,17063.9836,0,0,10938.33283,0.0,26.0,750.0
3417,34000,0.4,80,6,17/12/2022,33,soltero,0,20146.21139,12965.34003,0,1,35967.78308,0.0,110.0,676.0
30,22000,0.3,120,12,25/04/2023,48,casado,0,48297.37149,31468.13428,4,0,8447.280398,0.0,9.0,723.0
1892,45000,0.1,120,6,31/07/2022,32,divorciado,0,38203.39753,22834.14676,1,1,,,,
2380,45000,0.4,60,6,11/10/2022,55,union libre,0,20916.30041,9391.165874,0,0,44670.53268,4.0,31.0,641.0
5870,45000,0.2,60,18,16/06/2023,36,soltero,0,21376.48783,17303.97628,1,1,79745.40804,0.0,26.0,431.0
1651,60000,0.4,60,12,22/01/2023,38,divorciado,0,52752.57144,37089.65143,1,0,61022.29579,4.0,73.0,626.0
2248,15000,0.2,80,24,21/07/2022,24,divorciado,1,57048.27231,27243.39568,1,0,21255.80357,0.0,0.0,586.0
4079,60000,0.3,80,6,21/09/2022,55,casado,1,47706.2107,30613.33365,2,1,107214.0519,2.0,70.0,599.0
2338,60000,0.2,60,24,08/02/2023,66,soltero,1,5000.0,3928.22332,1,1,40224.81989,0.0,28.0,554.0
2553,45000,0.3,80,6,13/09/2022,27,divorciado,0,50056.57266,22604.41417,3,0,,,,
5609,22000,0.1,80,24,21/05/2023,18,casado,0,33633.56143,21081.48813,1,0,,,,
