accommodation,stay,diversity,waitingtime,safety_activities,quality_activities,satisfaction_activities,price,recommendation overall (stars),skiholiday,country,age,education,expenses
3,5,41,31,91,25,67,1,1,1,1,42,4,368
4,5,90,68,76,73,63,3,3,1,1,50,3,427
3,7,78,43,76,10,49,1,4,0,2,44,2,331
2,5,84,44,61,26,64,1,3,0,4,41,1,341
2,2,68,33,76,21,48,2,3,1,2,43,4,347
1,7,77,39,94,55,79,3,2,0,2,38,2,359
3,6,98,57,68,22,63,2,3,1,1,47,3,351
3,6,48,61,90,80,62,2,3,1,3,66,4,383
3,5,100,91,78,18,96,3,1,1,1,62,1,444
3,8,96,73,100,10,81,3,1,0,1,49,4,394
3,5,64,53,66,39,59,3,4,1,1,57,1,394
3,8,92,67,84,65,80,3,2,1,2,58,2,371
3,7,100,85,92,99,74,3,1,1,3,58,1,374
3,6,80,49,74,45,52,3,3,1,2,41,2,319
3,8,89,77,70,55,85,1,1,1,2,47,1,390
1,3,81,34,92,72,51,1,4,1,4,41,3,315
3,9,85,59,60,89,67,1,2,1,1,52,3,355
3,5,99,83,100,77,86,2,2,1,1,44,1,425
3,4,90,86,77,32,69,2,2,0,1,60,1,388
3,5,88,56,78,100,63,3,4,0,1,61,1,397
3,8,83,84,84,76,90,3,1,1,2,47,1,369
3,10,89,67,82,26,72,3,2,1,3,55,1,416
3,5,0,57,100,20,54,3,4,1,1,46,2,341
2,7,78,57,70,33,76,3,2,1,3,28,1,288
3,4,83,69,72,40,83,2,2,1,1,42,4,348
2,7,99,79,90,64,66,1,3,1,4,49,4,344
5,8,100,76,59,62,88,3,1,1,1,59,1,481
1,6,50,36,68,12,47,2,4,0,2,18,1,280
3,7,97,52,100,18,66,3,2,0,1,24,3,335
3,7,69,60,67,75,65,3,2,0,4,16,1,214
3,6,100,68,64,39,77,3,2,0,4,64,1,416
3,6,73,47,69,43,75,3,2,1,3,42,2,359
4,8,73,52,86,30,59,1,4,1,1,76,2,430
3,8,93,71,100,68,78,2,2,1,2,52,1,409
5,6,98,64,69,43,72,1,2,0,4,68,1,457
4,5,95,77,80,75,69,2,2,1,1,47,3,417
3,4,100,67,73,40,66,2,1,1,1,48,2,372
4,7,46,19,52,36,59,3,3,1,1,55,2,430
3,8,64,30,84,54,41,2,3,0,2,42,4,412
3,5,75,46,73,61,64,3,2,0,1,54,3,405
3,7,100,80,83,58,87,3,2,1,1,66,3,385
4,6,88,92,75,37,85,2,1,1,2,67,2,425
2,6,53,29,97,87,28,2,4,0,1,43,1,279
3,2,84,59,90,48,66,2,2,1,2,60,4,386
2,4,40,5,88,64,34,1,4,1,1,20,2,333
4,5,99,81,93,52,86,2,1,0,1,73,2,419
3,11,80,55,83,59,67,2,1,1,4,30,4,298
3,2,64,50,52,64,78,3,2,1,2,59,2,413
2,7,76,50,96,39,29,2,4,0,2,22,3,274
3,8,47,14,90,29,39,1,4,1,1,28,2,275
3,6,57,24,95,27,26,2,3,1,3,55,2,385
3,6,45,30,76,65,23,1,3,0,3,40,1,318
2,7,71,39,63,54,65,2,2,0,2,44,4,352
3,3,90,69,84,42,66,3,2,0,2,58,4,371
3,6,72,54,96,34,62,3,3,0,1,48,1,380
3,6,44,33,100,34,53,3,4,1,1,34,4,333
3,9,68,35,70,86,36,1,4,0,1,59,2,378
2,6,62,44,78,52,64,2,3,1,2,39,2,381
1,5,65,44,90,52,63,1,3,0,3,31,1,303
4,7,70,55,78,49,72,1,2,0,2,60,3,428
4,4,70,51,100,3,56,1,3,1,3,56,1,445
3,7,100,81,59,12,68,3,1,1,3,62,3,360
2,5,84,80,95,82,65,3,2,1,2,45,3,339
4,8,75,52,67,29,86,2,2,1,3,59,2,419
3,5,95,73,98,51,67,2,2,0,2,41,3,342
3,1,99,69,59,40,76,2,2,1,2,54,1,429
3,8,98,87,79,61,86,2,1,1,1,64,2,431
3,7,33,9,85,45,38,2,4,1,1,35,1,334
3,6,52,13,79,3,23,2,3,1,3,42,1,353
2,6,61,61,62,14,87,1,1,0,1,49,1,402
3,7,16,5,74,47,27,2,3,0,3,17,1,306
3,13,86,61,77,78,63,3,2,1,3,59,1,411
3,1,60,48,99,26,58,3,3,1,2,52,3,381
3,8,89,60,69,48,54,1,4,0,1,46,3,363
1,3,61,28,94,92,34,1,4,0,2,25,3,250
3,7,35,8,63,67,25,2,3,1,2,36,2,339
3,6,75,92,97,95,80,3,3,1,2,41,1,324
5,6,57,64,85,8,86,2,2,1,1,63,1,435
4,2,69,35,90,48,49,2,4,1,1,54,4,410
2,5,33,3,60,35,29,1,4,1,2,47,2,344
5,3,100,90,81,82,79,3,2,1,1,68,3,433
5,6,76,68,98,54,74,2,2,0,1,49,3,434
2,10,79,30,52,48,50,3,4,1,1,57,4,403
2,3,28,30,72,23,15,2,4,0,1,37,2,300
3,7,63,67,91,5,76,1,1,0,2,67,1,394
3,8,78,46,60,75,53,3,3,1,1,48,2,368
3,8,53,54,86,89,58,1,3,0,2,61,1,401
2,8,59,42,89,60,59,3,3,1,1,46,1,386
3,6,52,29,58,35,38,2,4,1,4,33,3,331
2,9,68,57,100,25,71,2,2,1,1,32,2,402
3,5,75,40,85,65,44,1,4,0,1,38,4,302
5,5,79,62,62,63,90,3,1,1,3,63,4,446
5,7,83,51,65,28,65,3,2,0,1,30,3,320
4,8,80,40,90,63,48,3,3,1,2,55,1,390
2,5,97,76,66,75,73,3,2,1,1,52,3,417
3,6,55,36,97,0,42,1,4,0,1,43,3,364
1,5,83,72,76,62,79,2,3,1,2,42,3,284
